id_match,match_number,stage,group,date_utc,match_status,result_type,home_team,away_team,home_name,away_name,home_score,away_score,home_penalties,away_penalties,winner,home_tactics,away_tactics,home_possession,away_possession,attendance,stadium,humidity,temperature,wind_speed,weather
1473,2,Group Matches,Group 2,1962-05-30,0,1,CHI,SUI,Chile,Switzerland,3,1,,,CHI,,,,,,Estadio Nacional Julio Martínez Prádanos,,,,
1479,1,Group Matches,Group 1,1962-05-30,0,1,URU,COL,Uruguay,Colombia,2,1,,,URU,,,,,,Carlos Dittborn,,,,
1461,3,Group Matches,Group 3,1962-05-30,0,1,BRA,MEX,Brazil,Mexico,2,0,,,BRA,,,,,,Estadio Sausalito,,,,
1447,4,Group Matches,Group 4,1962-05-30,0,1,ARG,BUL,Argentina,Bulgaria,1,0,,,ARG,,,,,,Estadio Braden Copper Co.,,,,
1490,8,Group Matches,Group 4,1962-05-31,0,1,HUN,ENG,Hungary,England,2,1,,,HUN,,,,,,Estadio Braden Copper Co.,,,,
1563,5,Group Matches,Group 1,1962-05-31,0,1,URS,YUG,Soviet Union,Yugoslavia,2,0,,,URS,,,,,,Carlos Dittborn,,,,
1507,6,Group Matches,Group 2,1962-05-31,0,1,FRG,ITA,Germany FR,Italy,0,0,,,,,,,,,Estadio Nacional Julio Martínez Prádanos,,,,
1498,7,Group Matches,Group 3,1962-05-31,0,1,TCH,ESP,Czechoslovakia,Spain,1,0,,,TCH,,,,,,Estadio Sausalito,,,,
1450,12,Group Matches,Group 4,1962-06-02,0,1,ENG,ARG,England,Argentina,3,1,,,ENG,,,,,,Estadio Braden Copper Co.,,,,
1564,9,Group Matches,Group 1,1962-06-02,0,1,YUG,URU,Yugoslavia,Uruguay,3,1,,,YUG,,,,,,Carlos Dittborn,,,,
1472,10,Group Matches,Group 2,1962-06-02,0,1,CHI,ITA,Chile,Italy,2,0,,,CHI,,,,,,Estadio Nacional Julio Martínez Prádanos,,,,
1462,11,Group Matches,Group 3,1962-06-02,0,1,BRA,TCH,Brazil,Czechoslovakia,0,0,,,,,,,,,Estadio Sausalito,,,,
1470,16,Group Matches,Group 4,1962-06-03,0,1,HUN,BUL,Hungary,Bulgaria,6,1,,,HUN,,,,,,Estadio Braden Copper Co.,,,,
1497,15,Group Matches,Group 3,1962-06-03,0,1,ESP,MEX,Spain,Mexico,1,0,,,ESP,,,,,,Estadio Sausalito,,,,
1478,13,Group Matches,Group 1,1962-06-03,0,1,URS,COL,Soviet Union,Colombia,4,4,,,,,,,,,Carlos Dittborn,,,,
1510,14,Group Matches,Group 2,1962-06-03,0,1,FRG,SUI,Germany FR,Switzerland,2,1,,,FRG,,,,,,Estadio Nacional Julio Martínez Prádanos,,,,
1471,18,Group Matches,Group 2,1962-06-06,0,1,FRG,CHI,Germany FR,Chile,2,0,,,FRG,,,,,,Estadio Nacional Julio Martínez Prádanos,,,,
1460,19,Group Matches,Group 3,1962-06-06,0,1,BRA,ESP,Brazil,Spain,2,1,,,BRA,,,,,,Estadio Sausalito,,,,
1562,17,Group Matches,Group 1,1962-06-06,0,1,URS,URU,Soviet Union,Uruguay,2,1,,,URS,,,,,,Carlos Dittborn,,,,
1451,20,Group Matches,Group 4,1962-06-06,0,1,HUN,ARG,Hungary,Argentina,0,0,,,,,,,,,Estadio Braden Copper Co.,,,,
1464,24,Group Matches,Group 4,1962-06-07,0,1,ENG,BUL,England,Bulgaria,0,0,,,,,,,,,Estadio Braden Copper Co.,,,,
1544,23,Group Matches,Group 3,1962-06-07,0,1,MEX,TCH,Mexico,Czechoslovakia,3,1,,,MEX,,,,,,Estadio Sausalito,,,,
1480,21,Group Matches,Group 1,1962-06-07,0,1,YUG,COL,Yugoslavia,Colombia,5,0,,,YUG,,,,,,Carlos Dittborn,,,,
1532,22,Group Matches,Group 2,1962-06-07,0,1,ITA,SUI,Italy,Switzerland,3,0,,,ITA,,,,,,Estadio Nacional Julio Martínez Prádanos,,,,
1474,25,Quarter-final,,1962-06-10,0,1,CHI,URS,Chile,Soviet Union,2,1,,,CHI,,,,,,Carlos Dittborn,,,,
1525,28,Quarter-final,,1962-06-10,0,1,TCH,HUN,Czechoslovakia,Hungary,1,0,,,TCH,,,,,,Estadio Braden Copper Co.,,,,
1511,26,Quarter-final,,1962-06-10,0,1,YUG,FRG,Yugoslavia,Germany FR,1,0,,,YUG,,,,,,Estadio Nacional Julio Martínez Prádanos,,,,
1459,27,Quarter-final,,1962-06-10,0,1,BRA,ENG,Brazil,England,3,1,,,BRA,,,,,,Estadio Sausalito,,,,
1559,30,Semi-final,,1962-06-13,0,1,TCH,YUG,Czechoslovakia,Yugoslavia,3,1,,,TCH,,,,,,Estadio Sausalito,,,,
1458,29,Semi-final,,1962-06-13,0,1,BRA,CHI,Brazil,Chile,4,2,,,BRA,,,,,,Estadio Nacional Julio Martínez Prádanos,,,,
1475,31,Match for third place,,1962-06-16,0,1,CHI,YUG,Chile,Yugoslavia,1,0,,,CHI,,,,,,Estadio Nacional Julio Martínez Prádanos,,,,
1463,32,Final,,1962-06-17,0,1,BRA,TCH,Brazil,Czechoslovakia,3,1,,,BRA,,,,,,Estadio Nacional Julio Martínez Prádanos,,,,
